State,class
9*Z.Z.Z.I.I,Normal-Grill
"96*W,W.W.",Normal-Grill
6.w.W.W.W.Z,Normal-Grill
.Z*F*W.W.W.,Normal-Grill
99*z*Z.z.Z.,Normal-Grill
99*w*W.,Normal-Grill
.Z.y.y.Y.Z0,Normal-Grill
99*Z.i.Z+Z.,Normal-Grill
"9.W.Z,Z*Z.Z",Normal-Grill
Z.Z*Z.Z.Z+Z,Normal-Grill
"W,W+W.Z*Z.w",Normal-Grill
99*z*z*,Normal-Grill
"99,W+W.w.",Normal-Grill
"Y,Y*Y,y.Y*Y",Normal-Grill
"y,Y.h.Y.Y.Y",Normal-Grill
88.Y.Y*Y.,Normal-Grill
99.Z.z.I.I.,Normal-Grill
88.Y.W.Z*W.,Normal-Grill
99.Z.Z.z.Z.,Normal-Grill
88.Y.Y.y.Y.,Normal-Grill
88.Y.Z.y.Y.,Normal-Grill
88.Y.y.H.y.,Normal-Grill
66.Y.X+,Normal-Grill
"85.X*X,X*",Normal-Grill
85.V.V.X*x*,Normal-Grill
"Y.Y.X,x.V.V",Normal-Grill
99.Z*W.W.W.,Normal-Grill
96+W.F.w.w.,Normal-Grill
76+W.W.,Normal-Grill
99.Z.Z.Z.I.,Normal-Grill
.Y.Y.X.X.X.,Normal-Grill
86.f.W.w.w.,Normal-Grill
"99*Z,Z.Z.Z.",Normal-Grill
.W.W.Z.Z.Z.,Normal-Grill
8.Y.Y*y*y*Y,Normal-Grill
66.w.W.,Normal-Grill
68.Y.W.W.W.,Normal-Grill
.Y000000000,Normal-Grill
00000000000,Normal-Grill
.Y000000000,Normal-Grill
00000000000,Normal-Grill
"W.W.W.W,W.W",Normal-Grill
96.W.,Normal-Grill
96.W.w.,Normal-Grill
"88.h.W,W.H.",Normal-Grill
98.W.,Normal-Grill
00000000000,Botnet-UDP-DNS
22.b.,Botnet-TCP-Attempt-SPAM
22.a.,Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
"22.s,",Botnet-TCP-Attempt-SPAM
".Z+Z.Z.W,W.",Normal-Stribrek
".Z.I.i.W.Z,",Normal-Stribrek
"U.W.U.U,U.U",Normal-Stribrek
"77,X.x.",Normal-Stribrek
"66.w.X,",Normal-Stribrek
76*w+,Normal-Stribrek
77.X+X.,Normal-Stribrek
86.W*W.,Normal-Stribrek
*z+W.W.w.w.,Normal-Stribrek
6.Z.Z.W.z.z,Normal-Stribrek
67.Y+X.X+,Normal-Stribrek
96.Z+w+Z.,Normal-Stribrek
96.Z*,Normal-Stribrek
.y.Y*W.Y+W.,Normal-Stribrek
"6.Y*Z.Z.X,Y",Normal-Stribrek
".W.w.W.W,W.",Normal-Stribrek
".f.F.f.Z,W.",Normal-Stribrek
"96,W.",Normal-Stribrek
"+W.W+W.Z*W,",Normal-Stribrek
76.X+W.,Normal-Stribrek
"h,h,h,h,h,h",Normal-Stribrek
"h,h,h,h,h,h",Normal-Stribrek
96*w+,Normal-Stribrek
".W+W.Z,w,W.",Normal-Stribrek
99*z*,Normal-Stribrek
".z.W.W.W.X,",Normal-Stribrek
"u,d,u,D+u,u",Normal-Stribrek
",u,U,u,u,d,",Normal-Stribrek
Y+Y.y.Y+Y.y,Normal-Stribrek
"u+u,U+D+u+u",Normal-Stribrek
.Y+Y.y.Y+Y.,Normal-Stribrek
",u+u+u,u+D,",Normal-Stribrek
.z.i.z.Z.Z.,Normal-Stribrek
"f.z.W.Z,Z.I",Normal-Stribrek
"u,u,u+u,u+u",Normal-Stribrek
96+W.w.,Normal-Stribrek
"U+U,u,d,u,d",Normal-Stribrek
".f.f.f.f.Z,",Normal-Stribrek
"99*Z,Z.Z+Z.",Normal-Stribrek
86.F.Y+W.w.,Normal-Stribrek
.X+x+y+W.F.,Normal-Stribrek
66.f.,Normal-Stribrek
00000000000,Normal-Stribrek
".f.W,W.W,W.",Normal-Stribrek
"99.z.W,W.",Normal-Stribrek
99.I.Z.Z.Z.,Normal-Stribrek
66.w.W.z.w.,Normal-Stribrek
"99.W,W.F.",Normal-Stribrek
99*Z.,Normal-Stribrek
"Z.z.Z,Z.Y*Y",Normal-Stribrek
6.W.w.W.W.Z,Normal-Stribrek
89.Y.Y+,Normal-Stribrek
W.W.F.Z*z*W,Normal-Stribrek
99.Z*Z.Z.,Normal-Stribrek
"66.Z,",Normal-Stribrek
98*Y.G.Y.X.,Normal-Stribrek
"8900Z,w,W.",Normal-Stribrek
99.Z*Z.,Normal-Stribrek
00000000000,Normal-Stribrek
".Z,Z+z*W,W.",Normal-Stribrek
99.Z.i.I.I.,Normal-Stribrek
"99.Z,Y.Z*Z.",Normal-Stribrek
".w.F.w.Z,Z.",Normal-Stribrek
99.I.Z.Z.z.,Normal-Stribrek
",u+U0000000",Normal-Stribrek
",u,U00U,u,u",Normal-Stribrek
"u,u,u,d,U0U",Normal-Stribrek
76.W.W.,Normal-Stribrek
99+y+Y.,Normal-Stribrek
"78,Y+y,y,y,",Normal-Stribrek
".X,v+V.v.X*",Normal-Stribrek
".X.Y+Y.V.X,",Normal-Stribrek
",x+y*V.X,X*",Normal-Stribrek
"99.z.Z.Z,Z.",Normal-Stribrek
W.W.Z*Z.Z.z,Normal-Stribrek
"6.W.W.W.Z,Z",Normal-Stribrek
w.W.W.W.w.W,Normal-Stribrek
88+y+W.y.,Normal-Stribrek
8.Y00000000,Normal-Stribrek
"D.v.u,V.v.u",Normal-Stribrek
*h*h*Y*Y*h*,Normal-Stribrek
h*y*y*h*h*y,Normal-Stribrek
*y*h*h*y*y*,Normal-Stribrek
*y*y*h*h*h*,Normal-Stribrek
Y.v.v.E.v.u,Normal-Stribrek
00000000000,Normal-Stribrek
00000h00000,Normal-Stribrek
00000000000,Normal-Stribrek
88.y.y.y.X.,Normal-Stribrek
88.X*,Normal-Stribrek
"96,W.W,",Normal-Stribrek
"96,W.W,",Normal-Stribrek
66.F.,Normal-Stribrek
"96.W,W.",Normal-Stribrek
"96,W.",Normal-Stribrek
66.w.,Normal-Stribrek
66.F.,Normal-Stribrek
66.W.,Normal-Stribrek
"96,W.W,",Normal-Stribrek
"96.W.W,",Normal-Stribrek
"96.W.W,",Normal-Stribrek
"99.W,W.",Normal-Stribrek
0F0f0f0f0f0,Normal-UDP-NTP-server
0i0i0i0i0i0,Normal-UDP-NTP-server
i0i0i0i0i0I,Normal-UDP-NTP-server
0i0i0i0i0i0,Normal-UDP-NTP-server
00000000000,Normal-UDP-NTP-server
00000000000,Normal-HTTP-windowsupdate
"99*h*z0Y*Z,",Normal-HTTP-windowsupdate
890z*Z+Z0z*,Normal-HTTP-windowsupdate
0i0i0i0I0i0,Normal-UDP-NTP-server
00000r00000,Normal-MatLab-Server
000000E0000,Normal-MatLab-Server
0f0f0f0f0f0,Normal-UDP-NTP-server
f0f0f0f0f0f,Normal-UDP-NTP-server
0i0i0i0i0i0,Normal-CVUT-WebServer
"R,U.R.U.R.U",Normal-CVUT-WebServer
990i0,Normal-HTTP-windowsupdate
0z00z0i0i0i,Botnet-TCP-CC-IRC-Not-Encrypted
"98,z.Y*",Normal-HTTP-windowsupdate
"W+W.Y,y.Z.Y",Normal-HTTP-windowsupdate
960z*z0,Normal-UDP-NTP-server
w.W.W.w.F.f,Normal-Jist
".w.F.w.w.Z,",Normal-Jist
"y.Y.Y.Y.Y,Z",Normal-Jist
",Z.Z*Z.z.i.",Normal-Jist
I.z.Z+z+Z*U,Normal-Jist
87.x.X.X.X.,Normal-Jist
.r.D.R.U.U.,Normal-Jist
99.Z.I.z.z.,Normal-Jist
",h,h,y+h+h+",Normal-Jist
.Y+Y.F.Y+Y.,Normal-Jist
96.Z+W.Z*I*,Normal-Jist
99*I*,Normal-Jist
96.Z*I+,Normal-Jist
99*W.Z*z*W.,Normal-Jist
96.Z0,Normal-Jist
66.W.X.x.x.,Normal-Jist
.Z.Z.z.Z.Z.,Normal-Jist
99.z.Z.I.I.,Normal-Jist
W+W.X.X*W.W,Normal-Jist
w*X.W+X.W+X,Normal-Jist
7.x.X*Y.X.X,Normal-Jist
w.Y*W.W.W*Y,Normal-Jist
.W*W.W.W.F.,Normal-Jist
F.f.W.W.W.f,Normal-Jist
X.W+W.w.X*X,Normal-Jist
99*z0z*Z*,Normal-Jist
z+Z*z*Z+I+z,Normal-Jist
.W.F.W*W.W.,Normal-Jist
w.w.W.X.X.x,Normal-Jist
W.f.X.Y*W.w,Normal-Jist
"99+Z,W+Z*",Normal-Jist
99.Z0I0Z.z.,Normal-Jist
w*W.W.w.Z*W,Normal-Jist
990w*W.Z*W*,Normal-Jist
+W.W*W.W.W.,Normal-Jist
.Z*Z.Z*i*Z0,Normal-Jist
69*I*z*z*i*,Normal-Jist
"9.Z,W*W.W+z",Normal-Jist
z*w*W.W.Z.Z,Normal-Jist
Z*w*W.W.W*W,Normal-Jist
88.Y.Y.,Normal-Jist
77.X.X.,Normal-Jist
99.Z.z.I.z.,Normal-Jist
66.Z.Z0W.,Normal-Jist
Z.W0W.w.Y.Z,Normal-Jist
99*W.W.,Normal-Jist
.f.Z.z.Z.X0,Normal-Jist
.z.Z.Z.Z+Z.,Normal-Jist
*Z.Z.Z+Z.I.,Normal-Jist
990z*Z+Z0i0,Normal-Jist
z*Z+Z0z*z*z,Normal-Jist
".Z.W0W,W.w.",Normal-Jist
.Z0Z.i.Z.I.,Normal-Jist
.W.w.w.Y.Y*,Normal-Jist
9.Y.z.Z.Z.Z,Normal-Jist
W.W.w.w.w.Z,Normal-Jist
W.w.w.w.W*W,Normal-Jist
"89.z.Z*Z,Z.",Normal-Jist
66.F.Z0w*W.,Normal-Jist
960Z.f.,Normal-Jist
W*w*w*x*W.W,Normal-Jist
99*z0z*,Normal-Jist
Z+Z.I.Z*Z.y,Normal-Jist
990Z.Z.Z.Z*,Normal-Jist
66.Z.,Normal-Jist
87.X.x.,Normal-Jist
"*Y.Y,Y.Y+y+",Normal-Jist
"Y,Y.Y*Y.Y*Y",Normal-Jist
"88.Y*Y,Y*",Normal-Jist
"Y*Y.Y,Y.Y*y",Normal-Jist
".Y,y+y*Y.Y+",Normal-Jist
"Y*Y.Y+y*Y,Y",Normal-Jist
"Y*Y,h,Y.Y,Y",Normal-Jist
",Y.Y*Y,Y*Y,",Normal-Jist
99.Z.z.I.I.,Normal-Jist
96.Z*,Normal-Jist
99*W.,Normal-Jist
99*W.,Normal-Jist
99+W.,Normal-Jist
"*X.x,x,W*W.",Normal-Jist
"W.X*X,x,X.Y",Normal-Jist
*W.w.W*W.W.,Normal-Jist
990z*Z+Z0i0,Normal-Jist
66.Y.W0W.,Normal-Jist
.Z.Z.Z.Z.Z.,Normal-Jist
99.Z.Z.I.Z.,Normal-Jist
"96.W.w.W,W.",Normal-Jist
99.Z*Z.,Normal-Jist
"I.I.I.Z.z,Z",Normal-Jist
6.w.Z0W.W.W,Normal-Jist
99.Z.,Normal-Jist
9.Z.Z.Z.z.i,Normal-Jist
99.Z.Z.Z.,Normal-Jist
.Z*Z.z.Z.Z*,Normal-Jist
99*Z.z.Z.Z*,Normal-Jist
.Y.y.y.y.y.,Normal-Jist
66.Y00W.W.,Normal-Jist
Z.Z.Z*Z.I.Z,Normal-Jist
W.w.Z.Z.I.Z,Normal-Jist
.Z.z.I.I.Z.,Normal-Jist
990z*z0i0,Normal-Jist
69.Z0w*Z.W*,Normal-Jist
Z.Z.Z.z.Z.z,Normal-Jist
99*w*Z.,Normal-Jist
69.Z*z*z*,Normal-Jist
99.Z.Z.Z.Z.,Normal-Jist
"Z.z.I.Z.Z,Z",Normal-Jist
"99,z,Z.",Normal-Jist
000Z.Z.Z*Z.,Normal-Jist
960W.,Normal-Jist
"*Z*F*W.Z*Z,",Normal-Jist
Z.Z.Z.Z.Z.Y,Normal-Jist
".W.Z.w,W.W*",Normal-Jist
99*z*z*z*,Normal-Jist
"W.f.W,W.F.w",Normal-Jist
99000y*Z.I.,Normal-Jist
"66.Z,Z*w*W.",Normal-Jist
99.H.I.Z.Z.,Normal-Jist
.w.W.Z*W*W.,Normal-Jist
970000,Normal-Jist
99+Z0,Normal-Jist
.Z.Z.Z.z.z.,Normal-Jist
99*z0Z+Z.Z.,Normal-Jist
"99*z*z*Z,W*",Normal-Jist
99*I*,Normal-Jist
"90Z.z.Z,Z*Z",Normal-Jist
w.X00Z.Z+Z.,Normal-Jist
990I0,Normal-Jist
"99,Z*z0W.w.",Normal-Jist
".Z*F*W.X*Z,",Normal-Jist
.z.z.I.I.Z0,Normal-Jist
89.Z.Z.Z+z*,Normal-Jist
99.I.Z00w*W,Normal-Jist
99*Z.Z.,Normal-Jist
*W.w.F.Z0x*,Normal-Jist
.w.W*W.w.W.,Normal-Jist
66.w.F.f.F.,Normal-Jist
.W.W.W.W*W.,Normal-Jist
.W.W.W.W*W.,Normal-Jist
F.F.F.W*W.f,Normal-Jist
99.z.z.Z.z.,Normal-Jist
990Z+z*Z*,Normal-Jist
99.I.,Normal-Jist
88.y.Y.,Normal-Jist
86.W.Y.H.,Normal-Jist
F.Z.Z*Z*z*z,Normal-Jist
990Z.Z.,Normal-Jist
Z*Z.Z.Y0Y.Y,Normal-Jist
"Z.z.Z,Z0Z.Z",Normal-Jist
I.Z0Z.I.Z.Z,Normal-Jist
Z*Z.Z.Z*Z.Z,Normal-Jist
",W.W.W,W.W+",Normal-Jist
66.F.,Normal-Jist
990z*Z+Z0i0,Normal-Jist
".z.I.Z*Z,z.",Normal-Jist
99*Z*W.,Normal-Jist
99.Z.I.Z.Z.,Normal-Jist
99.F.w.Z.W.,Normal-Jist
.Y.Y0Y.y.Y.,Normal-Jist
6.Z.I.Z.i.Z,Normal-Jist
99.Z.Z.i.i.,Normal-Jist
"60W.Y,Y.w.W",Normal-Jist
68.F.,Normal-Jist
Z.Y*Y.w.w.w,Normal-Jist
y.h.H.H.Y.Y,Normal-Jist
88*W.F.W*W.,Normal-Jist
78*W.w.,Normal-Jist
88.Y.h.H.H.,Normal-Jist
.y.Y.Z*Z.Z.,Normal-Jist
66.y.,Normal-Jist
"880W.X,X+",Normal-Jist
",x,X.X,G,v+",Normal-Jist
"x.X.X.X,X.x",Normal-Jist
".X+X.V,V.Y.",Normal-Jist
.Z.I.i.I.Y*,Normal-Jist
88.Y*H*H*,Normal-Jist
".Y,Y.Y,Y.Y.",Normal-Jist
Y.Y.Y.Y.Y.Y,Normal-Jist
99.Z.y.z.z.,Normal-Jist
99.Z.Z.Y.Y.,Normal-Jist
*Z+z*i*z*W.,Normal-Jist
.Z*z+z*z*z*,Normal-Jist
Z+I+z*z*z*Y,Normal-Jist
Z.Z*Z.Z.Z.Z,Normal-Jist
Z.Z.I.I.Z*z,Normal-Jist
66.W.,Normal-Jist
z.Z*Z.Z.z.I,Normal-Jist
i.i.I.Z.Z.z,Normal-Jist
66.W.W.,Normal-Jist
99.Z.Z.Z.z.,Normal-Jist
".f.f.F.Z.Z,",Normal-Jist
.w.f.w.W.Z.,Normal-Jist
"88.Z,",Normal-Jist
9.Z.z.Z*Z.I,Normal-Jist
.y.y.Y.Y.X.,Normal-Jist
Z.I.I.z.Z*Z,Normal-Jist
"I.I.Z,Z.z.Z",Normal-Jist
"99.I.Z,Z.Z,",Normal-Jist
88.h.Y.Y.H.,Normal-Jist
".I.i.Z*Z.Z,",Normal-Jist
9.z.I.z.z.Z,Normal-Jist
99.Z*Z.,Normal-Jist
99.Z.z.z.,Normal-Jist
".Z.Z.Z.Z,Z.",Normal-Jist
.Z*Z.Z*Z.Z.,Normal-Jist
99.i.i.i.i.,Normal-Jist
99.z.i.,Normal-Jist
Z*Z.Z.Z*Z.I,Normal-Jist
".Z,Z.z.i.i.",Normal-Jist
Z.i.Z*Z.z.i,Normal-Jist
i.z.z.i.Z.Z,Normal-Jist
99.z.,Normal-Jist
"9,Z.I.i.Z,Z",Normal-Jist
I.z.z.I.Z*Z,Normal-Jist
99.Z0Z.Z.,Normal-Jist
Z.Z.Y*Y.Y.Y,Normal-Jist
99.Z.Z.Z*Z.,Normal-Jist
99.Z.Z.,Normal-Jist
"96,W.",Normal-Jist
88.Y.Y.Y.,Normal-Jist
660f0f0,Normal-UDP-NTP-server
960z*z0f0,Normal-UDP-NTP-server
69.Z+,Normal-Grill
W.E.r.S.V.R,Normal-Grill
77.x.G.g.G.,Normal-Grill
66.W.x.w.X.,Normal-Grill
99.z.z.z.Z*,Normal-Grill
.w.W.W.f.Z.,Normal-Grill
6.w.X*W.W.X,Normal-Grill
96*W.w.W.,Normal-Grill
66.W.,Normal-Grill
86.w.Y.W.W*,Normal-Grill
66.Z+Z.,Normal-Grill
99.Z.z.z.w.,Normal-Grill
99*W.w.,Normal-Grill
66.F.w.,Normal-Grill
88.W.,Normal-Grill
990i0i0i0,Normal-Grill
96.w.,Normal-Grill
990Z.,Normal-Grill
99*Z.W.w.w.,Normal-Grill
990Z.,Normal-Grill
99.z.z.z.I.,Normal-Grill
96.W.W.W.w.,Normal-Grill
"Z.Y,W.z.y.Y",Normal-Grill
z.z.Z.Z.Z.z,Normal-Grill
99*I*z*,Normal-Grill
99.Z.,Normal-Grill
.X.x.X.X.x.,Normal-Grill
890h0i*,Normal-Grill
",g,g,g,g,g,",Normal-Grill
69*z*z*z0z*,Normal-Grill
990i0i0i0,Normal-Grill
96.W.F.W.F.,Normal-Grill
88.x.X.G.g.,Normal-Grill
99*I*z*,Normal-Grill
89.Z.,Normal-Grill
W.W.X*Y.X.Z,Normal-Grill
"9.Z,Z.Z.i.Z",Normal-Grill
99*Z.,Normal-Grill
99000,Normal-Grill
",Z.Z.Z.Z*z*",Normal-Grill
.W.W.W.F.W.,Normal-Grill
99*z*y*,Normal-Grill
9900z*z*,Normal-Grill
990z*,Normal-Grill
"99*z0z*Z,Z.",Normal-Grill
9900Z*,Normal-Grill
.W.W+Z.W.W.,Normal-Grill
9900I0,Normal-Grill
9900z*z0,Normal-Grill
990Z.Z*Z.,Normal-Grill
Z.Z*Z.Z*Z.Z,Normal-Grill
W.W.Z.W.Z.W,Normal-Grill
66.W.,Normal-Grill
990i0i0i0,Normal-Grill
66.W.,Normal-Grill
.Z.Y+Y.Y.y.,Normal-Grill
68.X+,Normal-Grill
88.Y.y.y.Y.,Normal-Grill
z.Y+Y.Y.y.y,Normal-Grill
66.Z.,Normal-Grill
w.w.Y+Y.Y.y,Normal-Grill
99.Z.z.I.I.,Normal-Grill
68.W.Y+X.,Normal-Grill
77+H+V.v.v.,Normal-Grill
87.G.X+X.,Normal-Grill
66.w.W.,Normal-Grill
89.Y.Z.y.Z.,Normal-Grill
66.W.w.W.W.,Normal-Grill
w.F.F.W.X*W,Normal-Grill
66.W.,Normal-Grill
66.w.,Normal-Grill
"W.Z+Z.Z,Z.Z",Normal-Grill
90z0s*U.R*a,Botnet-UDP-DNS
"r.R,A.A.R.R",Botnet-UDP-Attempt
"21,S*",Botnet-TCP-Attempt-SPAM
22.R.,Botnet-TCP-Attempt-SPAM
22*S.A.,Botnet-TCP-Attempt-SPAM
"22,s,",Botnet-TCP-Attempt-SPAM
99*z*,Botnet-TCP-Established-HTTP-Ad
".B.B.A.S.s,",Botnet-TCP-Attempt-SPAM
22+S.r.R+s*,Botnet-TCP-Attempt-SPAM
22.a.S.,Botnet-TCP-Attempt-SPAM
",R.S,R.S.S*",Botnet-TCP-Attempt-SPAM
"21,R.",Botnet-TCP-Attempt-SPAM
21+s*,Botnet-TCP-Attempt-SPAM
"21,S+s+S*",Botnet-TCP-Attempt-SPAM
"+r+r+s+S,S*",Botnet-TCP-Attempt-SPAM
22+S*R+,Botnet-TCP-Attempt-SPAM
22*S+,Botnet-TCP-Attempt-SPAM
".S+s,S*B+s*",Botnet-TCP-Attempt-SPAM
22.r.S.,Botnet-TCP-Attempt-SPAM
"22,R.S.",Botnet-TCP-Attempt-SPAM
"21,R*",Botnet-TCP-Attempt-SPAM
"2+R,s+s,R.S",Botnet-TCP-Attempt-SPAM
",b,b,S+S*S,",Botnet-TCP-Attempt-SPAM
"R*S,S.s.B.A",Botnet-TCP-Attempt-SPAM
"21,R.a.A.A.",Botnet-TCP-Attempt-SPAM
"+s+s+S.S,S.",Botnet-TCP-Attempt-SPAM
"+R,S+A+b+R,",Botnet-TCP-Attempt-SPAM
22*S.r.S.,Botnet-TCP-Attempt-SPAM
22+s*,Botnet-TCP-Attempt-SPAM
22*r*,Botnet-TCP-Attempt-SPAM
".S.s,b,S+S.",Botnet-TCP-Attempt-SPAM
",R.R+S,S.B.",Botnet-TCP-Attempt-SPAM
"21,R*s*",Botnet-TCP-Attempt-SPAM
"21,S+B+r+s*",Botnet-TCP-Attempt-SPAM
"2*S.S+R,R.S",Botnet-TCP-Attempt-SPAM
22*S.,Botnet-TCP-Attempt-SPAM
22*r*,Botnet-TCP-Attempt-SPAM
11*A*,Botnet-TCP-Attempt-SPAM
22.S*S.S*,Botnet-TCP-Attempt-SPAM
"22.S*S,B,S.",Botnet-TCP-Attempt-SPAM
11+s*r+,Botnet-TCP-Attempt-SPAM
"S.S+S.S*S,S",Botnet-TCP-Attempt-SPAM
",b,b,b,b,b,",Botnet-TCP-Attempt-SPAM
2.R+b+R*s+S,Botnet-TCP-Attempt-SPAM
R+S*S.a.S.R,Botnet-TCP-Attempt-SPAM
"22,S*",Botnet-TCP-Attempt-SPAM
22*S.,Botnet-TCP-Attempt-SPAM
22.a.S.,Botnet-TCP-Attempt-SPAM
".A.S,R.S.s,",Botnet-TCP-Attempt-SPAM
"12.R,S.s,b,",Botnet-TCP-Attempt-SPAM
"12.S+R,",Botnet-TCP-Attempt-SPAM
"22*R,R.S*",Botnet-TCP-Attempt-SPAM
21*R.,Botnet-TCP-Attempt-SPAM
"+S,s+S.A.S.",Botnet-TCP-Attempt-SPAM
"S,B,R.S.R*s",Botnet-TCP-Attempt-SPAM
",r+s+r*S,R.",Botnet-TCP-Attempt-SPAM
440D0,Botnet-TCP-HTTP-Google-Net-Established
".A.S*R,S*S,",Botnet-TCP-Attempt-SPAM
1+s*s*A*S.S,Botnet-TCP-Attempt-SPAM
"r+s,S*S.R.R",Botnet-TCP-Attempt-SPAM
".S,s+s+R,s,",Botnet-TCP-Attempt-SPAM
"22,s+",Botnet-TCP-Attempt-SPAM
12*r+,Botnet-TCP-Attempt-SPAM
"22,R.R,",Botnet-TCP-Attempt-SPAM
"2,R.S,R.S.S",Botnet-TCP-Attempt-SPAM
22.A.S.,Botnet-TCP-Attempt-SPAM
",h,H,H,r,Y.",Botnet-TCP-CC-Not-Encrypted
"+s*S.S+s*R,",Botnet-TCP-Attempt-SPAM
"+R*B*S,R.S.",Botnet-TCP-Attempt-SPAM
99.Z.Z.z.I.,Normal-Stribrek
"86,W.w.W*W.",Normal-Stribrek
"y.Y,Y.y.W.w",Normal-Stribrek
"99,W.",Normal-Stribrek
.Z.Z.z.Z.Z+,Normal-Stribrek
".R,U.U.U.U,",Normal-Stribrek
x.G.G.g.X.x,Normal-Stribrek
76*W.W.X*,Normal-Stribrek
77*F*,Normal-Stribrek
X.X+Y.G.x.Y,Normal-Stribrek
76*W.w.,Normal-Stribrek
Z.Z.Z+z+W.W,Normal-Stribrek
",Z.z.Z.I.z.",Normal-Stribrek
+W.x.W+W.Z.,Normal-Stribrek
",Z+Z.Z+z+W.",Normal-Stribrek
96.W.W.,Normal-Stribrek
X.W*W.F.f.W,Normal-Stribrek
.h.Y.X.X.Y.,Normal-Stribrek
99*W.,Normal-Stribrek
99.z.i.Z.Z.,Normal-Stribrek
W.W.w.Z*Z.Z,Normal-Stribrek
W+W.w.F.W*W,Normal-Stribrek
"z*W.f.Z*W,W",Normal-Stribrek
96+W.,Normal-Stribrek
.X+Y.W.X+W.,Normal-Stribrek
",h,h,h,h,h,",Normal-Stribrek
77.X0X.X0,Normal-Stribrek
88*Y.h.,Normal-Stribrek
"W.W,W.W.W,W",Normal-Stribrek
96+W.W+W.Z*,Normal-Stribrek
9.W*W.w.f.W,Normal-Stribrek
*W.W.W.W.W.,Normal-Stribrek
89.Z.,Normal-Stribrek
",y.y.y.y,z.",Normal-Stribrek
",u+u+u+U,u,",Normal-Stribrek
Z*Z.Z.Z.z.Z,Normal-Stribrek
",u+U,u,d,u,",Normal-Stribrek
.y.Y+Y.H.Z+,Normal-Stribrek
",u+U,U+d+u+",Normal-Stribrek
+Y.H.Y+Y.H.,Normal-Stribrek
",u,d,U+u+U,",Normal-Stribrek
"d,u,u,u+u+u",Normal-Stribrek
9*z*i*Z0z*z,Normal-Stribrek
",U+U,u,U+U,",Normal-Stribrek
9*I*z*z*z*I,Normal-Stribrek
z*z*W.Z*z*z,Normal-Stribrek
99.z.Z0Z.,Normal-Stribrek
I.i.Z.Z.z.W,Normal-Stribrek
99000,Normal-Stribrek
*Z+W.W*W.w.,Normal-Stribrek
85.V.E.,Normal-Stribrek
",z.w,W.w.f.",Normal-Stribrek
"89+Z,W.W*W.",Normal-Stribrek
Z*I*w*Z.W+W,Normal-Stribrek
"Z.W.I.Y,Y*Z",Normal-Stribrek
Z*z*W.W.Z+Z,Normal-Stribrek
".z.z.Y,H,W.",Normal-Stribrek
.X.X.G.x.x.,Normal-Stribrek
980i0h0,Normal-Stribrek
88.y.,Normal-Stribrek
990i0i0f0,Normal-Stribrek
99*i*i*I0,Normal-Stribrek
89.Z.,Normal-Stribrek
9.W.Z.W.Z.W,Normal-Stribrek
99.Z.Z.z.Z.,Normal-Stribrek
"99.F.W,",Normal-Stribrek
66.W.,Normal-Stribrek
99.Z.z.I.z.,Normal-Stribrek
69.Z*,Normal-Stribrek
"y.y,y.Y,y,y",Normal-Stribrek
99.Z.,Normal-Stribrek
"66.W,W.",Normal-Stribrek
66.W.,Normal-Stribrek
99.z.,Normal-Stribrek
9900z*,Normal-Stribrek
.W.W.w.X*Y.,Normal-Stribrek
99*I*H*z*,Normal-Stribrek
0Z.F.F.w.w.,Normal-Stribrek
990z0Z*Z*,Normal-Stribrek
97*z0,Normal-Stribrek
Z*Z*z*z*z*y,Normal-Stribrek
.w.W.W.W.W.,Normal-Stribrek
*Z.W*W.w.Z.,Normal-Stribrek
99.w.Y0X.Z*,Normal-Stribrek
66.w.w.w.Z0,Normal-Stribrek
99*z0,Normal-Stribrek
0Z.i.z.z.Z0,Normal-Stribrek
"96*W.W.Z,Z*",Normal-Stribrek
"W,Z*F*W.z.Z",Normal-Stribrek
99*Z*,Normal-Stribrek
99+z+Z*Z+z*,Normal-Stribrek
99.I.,Normal-Stribrek
99+Z*Z.Y*z0,Normal-Stribrek
W.W.W.Z0z*z,Normal-Stribrek
Z.Z*y*Y.x.x,Normal-Stribrek
96.z.,Normal-Stribrek
96.W.w.,Normal-Stribrek
Z.W.w.Z*W.W,Normal-Stribrek
99*W.,Normal-Stribrek
99*Z.Z*,Normal-Stribrek
",Z.W*Z.i.w.",Normal-Stribrek
.H.Y+W.w.W.,Normal-Stribrek
"x,X,x,W+Y.F",Normal-Stribrek
99.z.Z.Z.z.,Normal-Stribrek
"y.Z,z,y,Y.y",Normal-Stribrek
"86,W.w.W+W.",Normal-Stribrek
98+z+W.W.,Normal-Stribrek
"Y.y.y.Y,Y.y",Normal-Stribrek
9.Z.Z.Z.Z.Z,Normal-Stribrek
.X.x.W+W.F.,Normal-Stribrek
"86,W.w.W+W.",Normal-Stribrek
"98,Y,W.Z+W.",Normal-Stribrek
"x.Y,y.Y+Y.Y",Normal-Stribrek
V.e.X.v.V.V,Normal-Stribrek
